"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"341",0.001,0,0,0.113,0,0,0,0,0,0.002,0.079,0.001,0.522,0.001,0,0,0,0,0,0,0,0,0,0.013,0,0,0.058,0,0,0.096,0,0.002,0.039,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.023,0
"342",0,0.058,0,0.173,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0.049,0,0,0.003,0,0.021,0.011,0.282,0.113,0,0.027,0,0,0.001,0.003,0,0.047,0.002,0,0.001,0.162,0,0,0,0,0,0.038,0
"343",0,0.023,0.042,0.019,0,0,0.001,0,0,0,0,0,0,0.083,0,0,0.309,0,0,0.112,0,0.053,0.073,0,0.005,0,0,0.013,0.019,0.005,0,0.003,0,0.001,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0
"344",0,0,0.055,0.165,0,0,0,0,0.001,0,0,0,0,0.279,0.001,0,0.028,0,0,0,0,0.048,0,0.017,0,0,0,0.012,0.005,0,0.001,0,0,0.002,0,0,0,0.266,0,0,0,0.037,0,0,0,0,0.008,0,0
"345",0.004,0.021,0,0.137,0,0.01,0.004,0,0.007,0,0.216,0.002,0,0,0,0,0.008,0,0.019,0.105,0.007,0.005,0.01,0.002,0,0,0,0.02,0,0.07,0,0.033,0.013,0,0,0.005,0,0.002,0.262,0.016,0,0,0,0,0,0,0,0.016,0
"346",0.001,0,0,0.005,0,0.001,0,0.071,0,0.001,0,0,0.005,0.085,0,0,0,0.001,0,0,0,0,0,0.321,0.002,0.001,0.001,0,0,0.089,0,0,0.014,0,0,0,0,0,0,0,0,0,0.069,0.061,0.047,0,0.006,0.019,0
"347",0.003,0,0,0.08,0,0.007,0,0.063,0.176,0,0.006,0,0.013,0.084,0.009,0,0,0.002,0.008,0.001,0.004,0.013,0.001,0.008,0.005,0.005,0.014,0.001,0,0,0,0.001,0.016,0.014,0.052,0.085,0,0,0,0,0,0.008,0,0,0.244,0,0.003,0.016,0
"348",0,0,0.042,0.066,0,0,0.081,0,0.126,0,0.006,0,0,0.001,0.005,0,0,0,0,0,0,0.04,0,0.011,0,0,0.004,0,0.005,0.284,0.001,0,0.014,0,0.001,0,0,0,0,0,0,0.255,0.001,0,0.009,0,0,0.049,0
"349",0.001,0,0.031,0.052,0,0,0.003,0,0.004,0.017,0,0,0,0.131,0.012,0.009,0.002,0.05,0.003,0,0.003,0.029,0,0,0,0,0,0,0.001,0.004,0,0.004,0,0.189,0,0,0.002,0,0.032,0,0,0.041,0,0,0.113,0,0.097,0,0
"350",0.167,0,0.088,0.025,0,0,0,0,0,0,0,0,0,0.119,0.009,0,0.005,0,0.002,0.023,0,0,0.079,0,0,0.013,0.043,0,0.004,0,0.007,0.009,0,0.007,0,0,0,0.019,0,0.019,0.093,0.034,0,0,0,0,0.009,0,0
"351",0.006,0.005,0,0.116,0,0.009,0,0.001,0.239,0,0.028,0,0,0.138,0.018,0,0,0,0,0.001,0,0.021,0.001,0.006,0,0.001,0,0,0.001,0.003,0,0,0.004,0.026,0,0,0,0.008,0.001,0,0.031,0,0.03,0.019,0.233,0,0.014,0.001,0
"352",0,0,0,0.092,0,0,0.008,0.04,0.056,0.034,0.076,0.001,0,0.065,0,0.003,0.001,0.165,0,0,0,0,0,0.044,0.028,0,0.018,0,0,0.083,0.004,0,0,0.005,0.031,0.018,0.003,0,0,0,0.006,0,0.006,0,0.171,0,0,0.006,0.034
"353",0,0.004,0,0.026,0,0.001,0.013,0,0.017,0.055,0.085,0,0,0.039,0,0,0,0.045,0.013,0,0,0.005,0.014,0.054,0.026,0.002,0.002,0,0,0,0,0.005,0.049,0,0,0.011,0.002,0,0,0,0,0,0.048,0.236,0.083,0,0,0,0.034
"354",0,0,0.11,0,0.001,0,0.168,0.031,0.113,0,0.263,0,0,0,0,0,0,0,0.023,0,0.005,0,0,0,0.031,0,0,0.004,0.035,0.094,0.016,0,0.015,0.039,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0.035,0
"355",0,0,0.048,0.018,0.008,0,0.007,0,0.004,0,0.011,0.001,0.007,0.086,0.001,0.022,0.007,0,0,0.007,0,0.018,0,0,0,0.326,0.02,0,0,0.011,0,0,0,0.013,0,0,0,0.014,0,0,0,0.001,0.048,0,0.004,0,0,0,0
"356",0,0,0,0.163,0,0,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0.001,0.536,0,0.022,0,0,0.002,0,0,0.026,0,0,0,0,0,0,0.001,0.001,0.001,0.232,0.002,0,0,0,0,0,0,0,0,0,0.004
"357",0,0,0,0.144,0,0,0,0.015,0.06,0.001,0,0.008,0.029,0,0,0,0,0,0,0,0,0.5,0,0,0.003,0,0.013,0,0.001,0,0.001,0,0,0,0.016,0,0.006,0.044,0,0,0,0.114,0,0.011,0,0,0,0.034,0
"358",0,0,0,0.054,0.006,0,0,0.001,0,0,0,0,0.007,0.047,0,0,0,0.001,0,0,0,0,0.467,0.007,0,0.005,0,0,0,0.032,0,0.001,0.001,0,0,0,0,0,0,0.1,0,0,0,0.001,0.034,0.002,0,0,0
"359",0,0.003,0.076,0.018,0,0,0.012,0,0,0.001,0,0,0,0.162,0,0,0.005,0,0.313,0.058,0,0.012,0,0,0,0.017,0,0.175,0.012,0,0,0,0,0,0,0.001,0,0.043,0,0,0.005,0,0,0.002,0,0,0.001,0,0.002
"360",0,0,0,0.112,0,0.001,0.022,0,0,0,0.048,0,0,0.1,0,0,0,0,0,0,0,0,0.159,0,0,0.003,0,0,0,0.017,0,0.001,0,0,0,0,0,0,0,0.349,0,0.003,0,0,0,0,0,0,0.005
"361",0,0,0,0.05,0,0.001,0,0.027,0.208,0,0.001,0,0.001,0.118,0.001,0,0,0.003,0,0,0,0.013,0,0.105,0.003,0.001,0,0,0,0,0,0.002,0,0.002,0.002,0,0,0,0.003,0,0,0,0.002,0.005,0.236,0,0.018,0.055,0
"362",0,0,0.003,0.069,0.022,0,0,0,0.086,0,0.002,0,0,0.171,0,0.254,0,0,0,0,0.001,0.036,0.028,0.016,0.002,0,0.006,0,0,0.041,0,0.002,0,0,0,0,0.002,0,0,0,0.041,0.022,0,0,0.022,0,0.107,0.001,0
"363",0,0.008,0,0.003,0.001,0,0,0,0.02,0,0.047,0.001,0,0.136,0.001,0,0,0,0,0.001,0,0.002,0,0,0.373,0,0,0,0,0.048,0,0,0,0.004,0,0.001,0,0,0,0,0.02,0.004,0,0.003,0,0,0.032,0,0.005
"364",0,0,0,0.095,0.005,0.001,0,0.041,0,0,0.01,0.001,0.017,0.045,0,0.001,0,0,0,0,0,0,0.011,0.02,0,0,0.019,0,0.005,0,0,0,0.272,0,0,0,0,0,0,0.009,0.003,0.003,0.044,0.026,0.24,0.001,0.055,0.011,0.061
"365",0.01,0,0.036,0,0,0,0,0,0.049,0.005,0,0,0,0.1,0,0.001,0.011,0,0.008,0,0,0.035,0.006,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0.018,0,0.014,0,0.296,0,0.197,0.021,0
"366",0.001,0,0,0.145,0,0.002,0,0.007,0.002,0,0.043,0.005,0,0,0.238,0,0,0,0,0.094,0,0.129,0,0,0,0,0,0.047,0,0.025,0,0.027,0,0,0.003,0,0,0.121,0.012,0.013,0,0.081,0,0,0,0,0,0,0
"367",0.04,0,0.013,0.096,0,0,0,0,0,0,0,0.001,0,0.045,0,0,0.253,0.002,0.009,0.013,0,0.064,0,0,0,0.001,0.004,0,0,0,0.027,0,0,0,0,0.011,0,0.102,0,0,0,0.039,0,0.046,0,0.007,0,0,0.002
"368",0.003,0.016,0,0.057,0,0,0,0.06,0.116,0,0.071,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0.106,0,0.015,0.007,0.001,0.002,0.048,0,0,0,0,0.002,0,0,0,0.001,0.002,0.037,0,0.018,0,0.315,0,0,0.007,0.046
"369",0.016,0,0.001,0.04,0,0,0,0,0,0.031,0,0,0,0.089,0,0,0.29,0,0.01,0.187,0.001,0.039,0.027,0,0.043,0,0,0,0,0,0.016,0,0,0,0,0.001,0.001,0.006,0,0,0,0.001,0,0,0,0.008,0,0,0
"370",0.028,0.009,0,0.067,0,0,0,0.11,0.065,0,0,0,0,0.018,0,0.05,0,0.021,0,0,0,0.005,0.004,0.025,0,0,0.017,0,0,0.001,0.019,0,0.045,0,0,0,0.001,0.001,0.022,0,0.006,0,0,0.158,0.198,0,0.024,0.02,0.034
"371",0,0,0.003,0.062,0,0.006,0,0,0.02,0,0.013,0,0,0.091,0,0,0.021,0.251,0,0,0,0,0,0.002,0.016,0,0.026,0,0,0,0.002,0,0,0,0.004,0,0.002,0,0.026,0,0.026,0,0.051,0,0.116,0.005,0,0,0.001
"372",0,0,0.052,0.16,0,0,0.006,0.001,0.033,0,0.066,0.029,0,0,0.001,0,0.001,0.001,0,0,0,0.026,0.032,0,0,0,0,0,0,0.042,0.051,0.001,0,0,0.001,0.023,0,0.177,0.001,0,0,0.289,0,0,0,0,0,0,0.005
"373",0,0.001,0.002,0.021,0,0,0,0.001,0.051,0,0.03,0,0,0.074,0,0.015,0.001,0,0,0,0,0.032,0,0.157,0,0.032,0.003,0,0,0.002,0,0,0,0,0.032,0.003,0.001,0.001,0.001,0.002,0,0.003,0.012,0,0.199,0.003,0.114,0.014,0.041
"374",0,0,0,0.1,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.757,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0.056,0,0,0,0,0,0,0
"375",0,0,0.012,0.019,0,0.002,0,0,0,0,0,0,0.001,0.1,0.001,0.001,0.488,0,0,0.005,0,0.001,0,0,0,0.006,0,0,0,0,0,0.002,0,0.002,0,0,0,0.003,0,0,0,0.011,0,0.002,0,0,0.003,0,0
"376",0,0.004,0,0.09,0,0,0,0.001,0.037,0.001,0.293,0,0,0,0.006,0.001,0,0,0.053,0.004,0,0.037,0,0.001,0.003,0,0,0.018,0,0.083,0.002,0,0,0.028,0,0.038,0,0.001,0,0,0.001,0.096,0.001,0.001,0,0,0,0,0.156
"377",0,0,0.016,0.023,0,0,0.029,0.012,0.001,0.396,0.056,0,0,0.096,0,0,0.021,0,0.005,0.02,0.001,0.032,0.008,0,0.012,0.007,0,0,0.004,0,0,0.007,0,0,0,0.013,0,0.011,0.001,0.007,0,0,0.001,0.001,0,0,0,0,0.001
"378",0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0.069,0,0.003,0.555,0,0,0.012,0.008,0.015,0.007,0,0,0,0,0.01,0,0.001,0,0.009,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0.006,0
"379",0.009,0,0,0,0,0,0,0.002,0,0,0,0,0,0.125,0.015,0,0,0,0,0,0,0.08,0.053,0,0,0,0,0,0.01,0,0.301,0,0,0.017,0,0,0,0,0.042,0,0.007,0.001,0.103,0,0.046,0,0.021,0,0
"380",0,0.003,0.069,0,0,0,0,0,0.263,0,0,0,0,0,0.005,0,0,0,0.003,0,0.001,0,0,0,0,0.005,0.053,0,0.001,0,0.002,0,0,0.079,0.002,0,0.003,0,0,0.077,0,0,0.209,0,0.218,0,0,0.002,0.001
"381",0,0.006,0,0.216,0,0,0.401,0,0,0.001,0.023,0,0.01,0,0,0.001,0,0,0,0.081,0,0,0.013,0,0,0.077,0,0.031,0,0,0,0.003,0.006,0,0.004,0.002,0.008,0.04,0,0.005,0.005,0,0,0.001,0.006,0,0,0.004,0
"382",0,0,0,0.055,0,0,0,0,0.064,0,0.289,0.002,0,0,0,0,0,0,0,0,0,0.132,0,0.055,0.016,0,0,0,0,0.056,0,0.006,0,0,0.021,0,0.001,0,0.001,0,0,0,0,0.188,0.042,0,0,0.02,0.045
"383",0,0.068,0,0.096,0.006,0,0.059,0.044,0,0,0.237,0.001,0,0.004,0,0.001,0,0,0,0.004,0,0,0,0,0,0.007,0.029,0,0.152,0.175,0,0,0,0.004,0,0,0,0,0.034,0,0,0,0.004,0,0,0,0,0.031,0
"384",0,0,0,0,0.001,0,0.019,0,0,0,0,0,0,0.06,0,0.002,0.634,0,0,0.007,0,0,0,0,0,0.004,0,0,0,0,0,0.003,0,0,0.004,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0
"385",0,0.003,0,0.22,0.019,0.026,0.049,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.147,0,0,0,0.028,0,0.005,0,0.002,0.001,0,0,0.006,0,0,0,0.08,0,0,0.008,0.26,0.002,0,0,0,0,0.001,0
"386",0,0.025,0,0.039,0.005,0,0,0.039,0.031,0.007,0.245,0,0,0,0,0,0,0,0.011,0,0,0.017,0,0,0,0,0.012,0.001,0,0.358,0,0,0,0.167,0,0,0,0,0,0,0,0,0.023,0,0,0,0.01,0.008,0
"387",0.001,0.016,0.071,0.065,0,0,0.003,0,0.202,0,0.002,0,0,0.059,0,0.016,0.002,0.011,0.009,0,0.002,0.002,0,0.17,0,0,0,0,0.008,0.002,0,0,0.004,0,0.009,0,0,0,0,0,0,0,0.03,0,0.179,0,0,0.006,0
"388",0.009,0,0,0.039,0.002,0,0.009,0.032,0.096,0,0.002,0.028,0.012,0.08,0.004,0.015,0,0.021,0.012,0,0,0,0,0,0,0.015,0.233,0,0,0.013,0,0,0.076,0,0.01,0,0,0,0.008,0,0,0.013,0.024,0,0.01,0.018,0,0,0
"389",0.093,0.079,0,0,0,0,0,0,0.051,0,0.012,0,0,0.085,0,0,0,0,0,0,0,0.01,0,0.23,0,0.001,0,0,0.054,0.074,0,0.014,0,0,0.031,0,0,0,0,0.001,0,0.021,0.03,0,0.067,0,0.033,0,0
"390",0,0.029,0.058,0.053,0,0.001,0,0,0,0.006,0.002,0,0,0.049,0,0,0.002,0.002,0.019,0,0,0.007,0,0.034,0.158,0,0.008,0.005,0,0,0.006,0,0.022,0,0,0,0.003,0.002,0,0,0.002,0.02,0.091,0,0.279,0.001,0.071,0.003,0.059
"391",0,0,0.005,0,0.002,0,0,0,0.04,0.001,0,0.024,0.021,0.099,0,0,0,0,0,0,0,0,0,0.268,0,0.002,0.113,0,0,0,0.032,0,0,0.015,0,0,0,0,0,0,0.04,0,0.01,0.01,0,0,0,0,0.007
"392",0,0.001,0,0.182,0,0.001,0.001,0.057,0.047,0.018,0.08,0.007,0.013,0,0,0,0.002,0,0,0.016,0,0.084,0.008,0,0,0,0.05,0,0,0,0,0,0.031,0,0.012,0,0,0.001,0.281,0.018,0,0,0,0.083,0,0,0.001,0,0.006
"393",0.076,0,0,0,0,0,0,0,0.043,0,0,0,0.001,0.131,0.001,0,0,0,0,0,0,0.105,0.003,0.074,0,0,0.032,0,0,0.001,0,0.018,0,0,0,0,0,0,0.002,0.021,0.015,0.011,0,0.244,0.06,0,0.048,0.014,0.003
"394",0.036,0,0,0.181,0,0.005,0,0,0.002,0,0,0,0.016,0,0,0,0.002,0,0.001,0.1,0,0.03,0.184,0,0,0.06,0,0,0.021,0,0,0,0,0,0,0,0,0.003,0.301,0.049,0,0,0,0.002,0,0,0.002,0.001,0.001
"395",0.001,0,0.016,0.009,0,0,0,0,0.067,0,0,0,0,0.107,0,0,0,0,0.041,0,0,0,0.014,0.236,0,0,0.019,0,0,0.007,0,0.004,0,0.035,0,0,0,0,0,0,0.021,0,0.004,0,0.232,0,0,0.13,0
"396",0,0,0.016,0.074,0,0.001,0,0.043,0.055,0,0.017,0.038,0.013,0.016,0,0,0,0.017,0.005,0,0,0.019,0.018,0.001,0.001,0.013,0.004,0,0,0.015,0.001,0,0.009,0,0,0,0,0,0,0,0.003,0,0.042,0.331,0.194,0,0,0,0.015
"397",0,0,0.312,0.109,0,0.005,0,0,0,0,0,0,0,0.112,0,0,0.004,0,0.002,0.023,0,0.033,0.005,0,0.004,0,0.05,0,0,0.001,0.006,0,0.128,0,0,0,0.006,0,0.057,0,0,0.001,0.001,0,0.06,0.006,0,0,0
"398",0,0,0.046,0.211,0,0.012,0,0,0.041,0,0,0,0,0,0.001,0,0.001,0.009,0.007,0.001,0,0.083,0.069,0,0.001,0,0,0.024,0,0.018,0.045,0.011,0,0,0,0,0,0.079,0.099,0,0.025,0.165,0.001,0,0,0,0.008,0,0.031
"399",0,0,0.023,0.042,0,0,0,0,0.278,0,0,0,0.002,0.063,0.008,0.027,0.003,0.076,0,0,0.008,0.009,0,0.013,0,0,0,0,0,0,0,0.019,0,0.023,0,0,0,0,0,0.001,0.029,0,0,0,0.162,0,0.059,0.066,0.001
"400",0,0.008,0.008,0.067,0,0,0,0.12,0.092,0,0,0,0.031,0,0,0,0.028,0.014,0,0,0,0,0.02,0.046,0.003,0.001,0.012,0,0.004,0,0.002,0,0.034,0.002,0.001,0,0,0,0,0,0,0,0.072,0.045,0.315,0,0,0,0.023
"401",0.041,0.02,0,0,0,0,0,0.005,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0.002,0.384,0.026,0,0.011,0,0.021,0.042,0,0,0,0,0,0,0,0.001,0,0,0,0,0.071,0.034,0.062,0,0,0,0.006
"402",0.03,0.318,0,0.041,0.027,0,0,0.025,0.001,0,0.044,0,0.004,0,0,0.047,0,0,0,0.001,0,0.115,0,0.001,0,0,0,0,0,0.003,0.022,0.002,0,0,0.037,0,0,0,0,0,0,0,0.02,0,0.102,0,0,0.013,0
"403",0,0.001,0,0.298,0,0.002,0,0.034,0.036,0.002,0.041,0.005,0.004,0,0,0,0,0.007,0,0.001,0,0,0,0,0,0,0.023,0,0,0,0,0,0.376,0.004,0,0.006,0,0.021,0.062,0,0,0.028,0.004,0.003,0.008,0,0,0,0.023
"404",0.002,0,0.002,0.065,0,0,0.002,0,0.086,0.389,0.027,0.001,0,0.039,0,0,0,0.021,0,0.004,0,0,0.001,0,0.002,0,0,0.001,0,0,0,0.002,0.069,0.01,0,0.003,0.002,0,0.001,0,0,0,0.016,0.007,0.193,0,0.026,0,0.01
"405",0,0,0.023,0,0,0,0.001,0.029,0.025,0,0.019,0,0.001,0.051,0.001,0.024,0,0.001,0,0,0,0.004,0,0,0,0,0.034,0,0,0,0.301,0,0.011,0.086,0,0.006,0,0.006,0,0,0,0,0.052,0.035,0.072,0,0.003,0,0
"406",0,0,0.064,0.046,0,0,0,0,0.033,0,0,0.001,0,0.018,0,0,0,0,0.015,0.003,0,0.073,0.001,0,0,0.033,0,0,0,0.017,0.016,0.007,0,0.017,0,0,0.003,0.006,0.025,0,0.02,0.027,0.058,0,0.01,0,0.445,0,0.001
"407",0.02,0,0.129,0.078,0,0,0,0,0.053,0,0.002,0,0,0.122,0,0.009,0,0.058,0.002,0,0.001,0.015,0,0,0.054,0.008,0.002,0,0,0,0.043,0,0,0.001,0,0,0,0.011,0.019,0,0.005,0.001,0.033,0,0.158,0,0.075,0,0.093
"408",0,0,0.212,0.056,0,0,0.002,0.004,0.1,0,0,0.038,0,0.145,0.002,0.002,0,0.065,0,0,0.001,0.032,0,0.029,0,0,0,0,0.013,0,0.001,0,0,0.02,0,0,0,0.033,0.014,0,0,0.104,0.03,0,0.084,0,0,0.009,0
"409",0.003,0,0.016,0.043,0.001,0,0,0.027,0.019,0,0,0,0.001,0.159,0.022,0.006,0,0.126,0,0,0,0,0,0.113,0,0,0,0,0.003,0,0.012,0.003,0.017,0.002,0.012,0,0,0,0,0,0.017,0,0.05,0,0.113,0,0.024,0.019,0.009
"410",0.001,0,0,0.002,0.002,0,0,0.008,0.019,0,0,0,0.125,0.03,0.001,0.041,0.146,0,0,0,0,0.013,0,0,0,0.011,0.036,0,0,0.006,0,0.009,0.003,0,0,0,0,0,0,0.041,0.003,0,0,0,0.002,0.001,0.001,0,0
"411",0,0.002,0.002,0.187,0,0,0,0.044,0.018,0.047,0.129,0,0.119,0.001,0,0.178,0,0,0,0.004,0,0,0.008,0,0,0.001,0.001,0,0,0.015,0,0,0.017,0,0,0,0,0.005,0.04,0.035,0.022,0.001,0,0.092,0,0,0,0.024,0.007
"412",0,0,0,0.112,0,0.005,0,0,0.005,0.001,0,0.532,0,0.012,0.001,0,0,0,0,0,0,0.003,0.059,0,0,0,0,0,0,0.025,0,0,0,0,0.003,0,0.001,0.032,0.062,0,0,0.004,0.033,0.011,0.041,0,0,0,0.002
"413",0,0,0.001,0,0,0,0,0,0.108,0,0.047,0,0,0.001,0,0,0,0.085,0.005,0,0,0.171,0,0,0.004,0,0,0,0,0.382,0,0,0.014,0,0.01,0,0,0,0,0,0.055,0.063,0,0,0.02,0,0,0.018,0.015
"414",0,0.006,0,0.06,0,0,0,0.001,0.042,0,0.015,0,0,0.003,0.01,0.009,0.001,0.103,0,0,0.002,0.034,0,0.024,0,0,0,0,0,0.045,0.001,0,0.027,0,0.186,0.02,0,0,0,0.001,0,0,0,0.001,0.265,0.001,0,0.052,0.009
"415",0.179,0,0,0,0,0,0,0,0.028,0.004,0,0,0.066,0,0,0,0,0,0,0.001,0,0,0.159,0.044,0,0,0.071,0,0,0.001,0,0,0,0,0.001,0,0,0.001,0,0.072,0,0,0,0,0.119,0,0,0,0
"416",0.04,0,0.015,0,0,0.458,0,0,0,0,0.024,0,0.032,0.017,0.007,0,0.016,0,0.008,0,0,0,0,0,0,0.005,0.009,0,0,0,0,0,0,0.002,0,0,0.052,0,0,0,0.002,0,0,0,0,0,0.067,0.017,0
"417",0,0,0.032,0.136,0,0.005,0,0.061,0.122,0,0.001,0,0.009,0.003,0.01,0,0,0.009,0.016,0,0,0,0.003,0.01,0,0.017,0.13,0.003,0.008,0,0,0.001,0.009,0,0,0.001,0,0,0,0,0,0.007,0.028,0,0.373,0.001,0,0.004,0
"418",0.057,0,0,0.034,0.007,0,0,0,0.043,0,0.005,0,0.013,0.01,0,0.283,0,0,0,0.004,0,0,0.001,0.02,0,0,0.013,0,0.001,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.021,0
"419",0,0,0,0.014,0,0,0,0,0.119,0,0,0,0,0.124,0.002,0.023,0,0,0.186,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0.028,0,0,0.002,0,0,0,0.011,0,0,0,0.147,0,0,0,0
"420",0,0,0,0.067,0,0,0,0.004,0,0,0,0,0,0,0,0,0.005,0.002,0.001,0,0,0.027,0,0,0,0,0.343,0,0,0,0.005,0,0.001,0,0,0.001,0,0,0,0.037,0.009,0.001,0.051,0.001,0.153,0,0.019,0.003,0
"421",0,0,0,0,0,0,0,0,0.014,0,0.013,0,0,0,0,0,0,0,0.001,0,0,0.017,0,0.011,0.015,0,0,0,0,0.071,0.003,0.001,0,0,0,0.574,0,0,0.001,0,0,0,0,0,0.144,0,0.031,0.002,0
"422",0.008,0.024,0,0.032,0.001,0,0,0.001,0.315,0,0.029,0,0,0.027,0,0.03,0,0.004,0,0,0,0.02,0,0.022,0.005,0,0,0,0.001,0,0,0.006,0,0,0.025,0,0.003,0,0,0.002,0,0,0.001,0,0.238,0,0.013,0.121,0.003
"423",0.003,0,0.074,0.156,0,0,0.03,0,0,0,0,0.007,0.019,0.139,0,0,0.022,0.003,0.013,0.086,0.001,0.036,0,0,0,0,0.026,0.001,0.004,0,0.011,0,0.106,0.019,0.008,0,0,0.043,0.032,0,0.026,0.032,0,0,0.024,0,0,0.003,0
"424",0.001,0,0,0.088,0,0,0,0.14,0.099,0,0.025,0.007,0.012,0,0,0.001,0.001,0.252,0.002,0,0,0.004,0,0,0,0.021,0.003,0,0,0.008,0,0,0.021,0.015,0,0,0,0,0,0,0,0,0.003,0,0.238,0,0,0.007,0.029
